Team #,Team Name
1101,University of Central Florida
1102,Rutgers University
1103,Rutgers University
1104,Colgate University
1105,Colgate University
1106,University of Arizona
1107,University of Arizona
1108,University of Arizona
1109,Samford University
1110,Samford University
1111,Illinois State University
1112,Illinois State University
1113,University of Missouri-Kansas City
1114,University of Missouri-Kansas City
1115,Carleton College
1116,Carleton College
1117,Buffalo State College
1118,Bryant University
1119,University of Dayton
1120,St. Louis University
1121,St. Louis University
1122,Drake University
1123,Drake University
1124,Drake University
1125,University of Tennessee-Knoxville
1126,University of Tennessee-Knoxville
1127,University of Tennessee-Knoxville
1128,Washington University (St. Louis)
1129,Washington University (St. Louis)
1130,Loyola University - Chicago
1131,Loyola University - Chicago
1132,Loyola University - Chicago
1133,University of South Dakota
1134,University of South Dakota
1135,Culver-Stockton College
1136,Ohio Northern University
1137,Ohio Northern University
1138,Cornell College
1139,Cornell College
1140,Cornell College
1141,Swarthmore College
1142,Swarthmore College
1143,Northwest Missouri State University
1144,Washburn University
1145,Washburn University
1146,Creighton University
1147,Creighton University
1148,Fresno State University
1149,Fresno State University
1150,Fresno State University
1151,Fresno State University
1152,Fordham University - Rose Hill
1153,Fordham University - Rose Hill
1154,Fordham University - Rose Hill
1155,"University of California, Santa Barbara"
1156,Elizabethtown College
1157,Elizabethtown College
1158,Miami University
1159,Miami University
1160,Miami University
1161,Miami University
1162,Hendrix College
1163,North Central College
1164,University of St. Thomas
1165,University of South Carolina
1166,University of South Carolina
1167,"Univ. of California, Santa Barbara (2nd team)"
1168,"Univ. of California, Santa Barbara (3rd team)"
1169,University of South Florida
1170,Flagler College
1171,Flagler College
1172,Syracuse University
1173,Syracuse University
1174,Bemidji State University
1175,Lasell College
1176,American University
1177,American University
1178,American University
1179,Dickinson College
1180,Dickinson College
1181,"University of California, Irvine"
1182,"University of California, Irvine"
1183,"University of California, Irvine"
1184,Suffolk University
1185,DePaul University
1186,Nova Southeastern University
1187,Ursinus College
1188,Auburn University
1189,Auburn University
1190,Reed College
1191,"University of Minnesota, Morris"
1192,"University of Minnesota, Morris"
1193,Drexel University
1194,Drexel University
1195,Drexel University
1196,Drexel University
1197,"University of Colorado, Boulder"
1198,"University of Colorado, Boulder"
1199,"University of Maryland, Baltimore County"
1200,Kent State University
1201,"Fordham University, Lincoln Center"
1202,"Fordham University, Lincoln Center"
1203,Temple University
1204,Temple University
1205,Furman University
1206,Furman University
1207,Furman University
1208,University of Central Missouri
1209,University of Cincinnati
1210,University of Cincinnati
1211,University of Cincinnati
1212,Tufts University
1213,Tufts University
1214,Tufts University
1215,Tufts University
1216,"University of Illinois, Urbana-Champaign"
1217,"University of Illinois, Urbana-Champaign"
1218,"University of Illinois, Urbana-Champaign"
1219,Vanderbilt University
1220,Vanderbilt University
1221,Vanderbilt University
1222,Lewis University
1223,Lewis University
1224,Lewis University
1225,Coastal Carolina University
1226,Bradley University
1227,Bradley University
1228,Quincy University
1229,University of Tampa
1230,University of Wisconsin-Madison
1231,University of Wisconsin-Madison
1232,Bellarmine University
1233,Bellarmine University
1234,Mississippi University for Women
1235,Saint Vincent College
1236,University of Rochester
1237,University of Rochester
1238,Clark University
1239,Clark University
1240,University of Kentucky
1241,University of Kentucky
1242,College of Saint Rose
1243,University of Chicago
1244,University of Chicago
1245,University of Chicago
1246,University of Chicago
1247,St. John Fisher College
1248,University of Georgia
1249,University of Georgia
1250,University of Georgia
1251,University of Georgia
1252,Wilmington College
1253,Sullivan University
1254,Yale University
1255,Yale University
1256,Yale University
1257,Patrick Henry College
1258,Patrick Henry College
1259,Patrick Henry College
1260,Patrick Henry College
1261,Brandeis University
1262,Brandeis University
1263,Brandeis University
1264,Brandeis University
1265,University of Mississippi
1266,University of Mississippi
1267,"University of Illinois, Chicago"
1268,"University of Illinois, Chicago"
1269,University of Washington
1270,University of Washington
1271,College of Saint Benedict/Saint John's Univ.
1272,Washington State University
1273,University of Denver
1274,University of Denver
1275,College of the Holy Cross
1276,College of the Holy Cross
1277,Queensborough Community College
1278,Queensborough Community College
1279,University of Minnesota-Duluth
1280,University of Minnesota-Duluth
1281,Mississippi College
1282,Westminster College
1283,Millsaps College
1284,Millsaps College
1285,Northwood University
1286,Northwood University
1287,"University of Texas, Austin"
1288,"University of Texas, Austin"
1289,"University of Texas, Austin"
1290,Duke University
1291,Duke University
1292,Duke University
1293,Stanford University
1294,Stanford University
1295,Stanford University
1296,Bates College
1297,Manchester University
1298,Ithaca College
1299,Ithaca College
1300,University of Pittsburgh
1301,University of Pittsburgh
1302,"University of California, Berkeley"
1303,"University of California, Berkeley"
1304,"University of California, Berkeley"
1305,"University of California, Berkeley"
1306,Palm Beach State College
1307,University of Memphis
1308,Eastern Michigan University
1309,Eastern Michigan University
1310,New York University
1311,New York University
1312,University of New Hampshire
1313,University of New Hampshire
1314,University of New Hampshire
1315,Valdosta State University
1316,St. John's University
1317,St. John's University
1318,Northern Illinois University
1319,Northern Illinois University
1320,Princeton University
1321,Princeton University
1322,Princeton University
1323,Loras College
1324,Loras College
1325,Stony Brook University
1326,Stony Brook University
1327,Trinity College
1328,St. Ambrose University
1329,Western Illinois University
1330,University of New Mexico
1331,University of New Mexico
1332,Guilford College
1333,California State University Long Beach
1334,Saint Xavier University
1335,Stetson University
1336,University of Oregon
1337,University of Oregon
1338,University of Oregon
1339,Carthage College
1340,Benedictine University
1341,Providence College
1342,University of Mary Washington
1343,University of Wisconsin-La Crosse
1344,Ohio State University
1345,Ohio State University
1346,Ohio State University
1347,Kennesaw State University
1348,Kennesaw State University
1349,Cal Poly San Luis Obispo
1350,Cal Poly San Luis Obispo
1351,Cal Poly San Luis Obispo
1352,Cal Poly San Luis Obispo
1353,"University of Nevada, Reno"
1354,"University of Nevada, Reno"
1355,High Point University
1356,University of Idaho
1357,University of Idaho
1358,Boston University
1359,Boston University
1360,Boston University
1361,University of New Haven
1362,University of New Haven
1363,Elmhurst College
1364,Florida State University
1365,Florida State University
1366,Mercer University
1367,Brown University
1368,Brown University
1369,Georgia Tech
1370,Georgia Tech
1371,Susquehanna University
1372,St. Bonaventure University
1373,Quinnipiac University
1374,Iowa State University
1375,Iowa State University
1376,"University of Tennessee, Chattanooga"
1377,Lee University
1378,University of Notre Dame
1379,University of Notre Dame
1380,University of Notre Dame
1381,University of Notre Dame
1382,Kansas State University
1383,Kansas State University
1384,Binghamton University
1385,Binghamton University
1386,University at Buffalo
1387,University at Buffalo
1388,Davidson College
1389,La Salle University
1390,Fontbonne University
1391,Fontbonne University
1392,"University of Wisconsin, Milwaukee"
1393,"University of Wisconsin, Milwaukee"
1394,Johns Hopkins University
1395,Johns Hopkins University
1396,Kenyon College
1397,Central College
